sektor,transaktionspost,kvartal,"Inkomster och utgifter samt kapitaltransaktioner (ENS2010), löpande priser, mnkr"
S11 Icke-finansiella bolag,"D4net.REC Kapitalinkomst, netto ",2024K1,-47266
S11 Icke-finansiella bolag,"D4net.REC Kapitalinkomst, netto ",2024K2,-133938
S11 Icke-finansiella bolag,"D4net.REC Kapitalinkomst, netto ",2024K3,-10061
S11 Icke-finansiella bolag,"D4net.REC Kapitalinkomst, netto ",2024K4,-35310
S11 Icke-finansiella bolag,"D4.REC Kapitalinkomst, tillgång",2024K1,147355
S11 Icke-finansiella bolag,"D4.REC Kapitalinkomst, tillgång",2024K2,374905
S11 Icke-finansiella bolag,"D4.REC Kapitalinkomst, tillgång",2024K3,301251
S11 Icke-finansiella bolag,"D4.REC Kapitalinkomst, tillgång",2024K4,302286
S11 Icke-finansiella bolag,"D41.REC Ränta, FISIM-justerad, tillgång",2024K1,25355
S11 Icke-finansiella bolag,"D41.REC Ränta, FISIM-justerad, tillgång",2024K2,25221
S11 Icke-finansiella bolag,"D41.REC Ränta, FISIM-justerad, tillgång",2024K3,31007
S11 Icke-finansiella bolag,"D41.REC Ränta, FISIM-justerad, tillgång",2024K4,24895
S11 Icke-finansiella bolag,"D41G.REC Ränta, tillgång",2024K1,17148
S11 Icke-finansiella bolag,"D41G.REC Ränta, tillgång",2024K2,17562
S11 Icke-finansiella bolag,"D41G.REC Ränta, tillgång",2024K3,23287
S11 Icke-finansiella bolag,"D41G.REC Ränta, tillgång",2024K4,17705
S11 Icke-finansiella bolag,"D41Adj.REC FISIM-justering, tillgång ",2024K1,8207
S11 Icke-finansiella bolag,"D41Adj.REC FISIM-justering, tillgång ",2024K2,7659
S11 Icke-finansiella bolag,"D41Adj.REC FISIM-justering, tillgång ",2024K3,7720
S11 Icke-finansiella bolag,"D41Adj.REC FISIM-justering, tillgång ",2024K4,7190
S11 Icke-finansiella bolag,"D4N.REC Andra kapitalinkomster än räntor, tillgång",2024K1,122000
S11 Icke-finansiella bolag,"D4N.REC Andra kapitalinkomster än räntor, tillgång",2024K2,349684
S11 Icke-finansiella bolag,"D4N.REC Andra kapitalinkomster än räntor, tillgång",2024K3,270244
S11 Icke-finansiella bolag,"D4N.REC Andra kapitalinkomster än räntor, tillgång",2024K4,277391
S11 Icke-finansiella bolag,"D42.REC Utdelning från bolag samt ägaruttag från kvasibolag, tillgång",2024K1,30334
S11 Icke-finansiella bolag,"D42.REC Utdelning från bolag samt ägaruttag från kvasibolag, tillgång",2024K2,333663
S11 Icke-finansiella bolag,"D42.REC Utdelning från bolag samt ägaruttag från kvasibolag, tillgång",2024K3,210659
S11 Icke-finansiella bolag,"D42.REC Utdelning från bolag samt ägaruttag från kvasibolag, tillgång",2024K4,285827
S11 Icke-finansiella bolag,"D421.REC Utdelning från bolag, tillgång",2024K1,30303
S11 Icke-finansiella bolag,"D421.REC Utdelning från bolag, tillgång",2024K2,333630
S11 Icke-finansiella bolag,"D421.REC Utdelning från bolag, tillgång",2024K3,210633
S11 Icke-finansiella bolag,"D421.REC Utdelning från bolag, tillgång",2024K4,285803
S11 Icke-finansiella bolag,"D422.REC Ägaruttag från kvasibolag, tillgång",2024K1,31
S11 Icke-finansiella bolag,"D422.REC Ägaruttag från kvasibolag, tillgång",2024K2,33
S11 Icke-finansiella bolag,"D422.REC Ägaruttag från kvasibolag, tillgång",2024K3,26
S11 Icke-finansiella bolag,"D422.REC Ägaruttag från kvasibolag, tillgång",2024K4,24
S11 Icke-finansiella bolag,"D4o.REC Övriga kapitalinkomster (D43, D44 och D45), tillgång ",2024K1,91666
S11 Icke-finansiella bolag,"D4o.REC Övriga kapitalinkomster (D43, D44 och D45), tillgång ",2024K2,16021
S11 Icke-finansiella bolag,"D4o.REC Övriga kapitalinkomster (D43, D44 och D45), tillgång ",2024K3,59585
S11 Icke-finansiella bolag,"D4o.REC Övriga kapitalinkomster (D43, D44 och D45), tillgång ",2024K4,-8436
S11 Icke-finansiella bolag,"D43.REC Återinvesterade vinstmedel från utländska direktinvesteringar, tillgång",2024K1,88031
S11 Icke-finansiella bolag,"D43.REC Återinvesterade vinstmedel från utländska direktinvesteringar, tillgång",2024K2,5962
S11 Icke-finansiella bolag,"D43.REC Återinvesterade vinstmedel från utländska direktinvesteringar, tillgång",2024K3,56926
S11 Icke-finansiella bolag,"D43.REC Återinvesterade vinstmedel från utländska direktinvesteringar, tillgång",2024K4,-12007
S11 Icke-finansiella bolag,"D43S21.REC Återinvesterade vinstmedel från utländska direktinvesteringar inom EU, tillgång",2024K1,43299
S11 Icke-finansiella bolag,"D43S21.REC Återinvesterade vinstmedel från utländska direktinvesteringar inom EU, tillgång",2024K2,-4648
S11 Icke-finansiella bolag,"D43S21.REC Återinvesterade vinstmedel från utländska direktinvesteringar inom EU, tillgång",2024K3,20767
S11 Icke-finansiella bolag,"D43S21.REC Återinvesterade vinstmedel från utländska direktinvesteringar inom EU, tillgång",2024K4,-6214
