region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän och förenklad fastighetstaxering. Taxeringsenheter, totalt taxerings-/basvärde och areal"
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",fysisk person,2025,Taxeringsenheter,933
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",fysisk person,2025,"Totalt taxerings-/basvärde, miljoner kr",1655
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",fysisk person,2025,"Areal, kvkm",5.85
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",stat,2025,Taxeringsenheter,26
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",stat,2025,"Totalt taxerings-/basvärde, miljoner kr",111
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",stat,2025,"Areal, kvkm",1.05
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad","kommun, region",2025,Taxeringsenheter,159
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad","kommun, region",2025,"Totalt taxerings-/basvärde, miljoner kr",567
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad","kommun, region",2025,"Areal, kvkm",0.97
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",Svenska kyrkan,2025,Taxeringsenheter,5
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",Svenska kyrkan,2025,"Totalt taxerings-/basvärde, miljoner kr",24
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",Svenska kyrkan,2025,"Areal, kvkm",0.10
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",allmännyttigt bostadsföretag,2025,Taxeringsenheter,25
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",allmännyttigt bostadsföretag,2025,"Totalt taxerings-/basvärde, miljoner kr",263
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",allmännyttigt bostadsföretag,2025,"Areal, kvkm",0.32
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",bostadsrättsförening,2025,Taxeringsenheter,36
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",bostadsrättsförening,2025,"Totalt taxerings-/basvärde, miljoner kr",324
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",bostadsrättsförening,2025,"Areal, kvkm",0.58
00 Riket,"322 Hyreshusenhet, hotell eller restaurangbyggnad",ekonomisk förening utom BRF,2025,Taxeringsenheter,34
